"Quick View","Quick View"
"was successfully added to your shopping cart.","was successfully added to your shopping cart."
"Continue shopping","Continue shopping"
"View cart & checkout","View cart & checkout"
"Click to see more products from %s","Click to see more products from %s"
"Product code:","Product code:"
